* 2068:
26/6 tis:
27/6 ons:
28/6 tor:
29/6 fre:
30/6 lör:


** Juli 2068:

1/7 sön:
2/7 mån:
3/7 tis:
4/7 ons:
5/7 tor:
6/7 fre:
7/7 lör:
8/7 sön:
9/7 mån:
10/7 tis:
11/7 ons:
12/7 tor:
13/7 fre:
14/7 lör:
15/7 sön:
16/7 mån:
17/7 tis:
18/7 ons:
19/7 tor:
20/7 fre:
21/7 lör:
22/7 sön:
23/7 mån:
24/7 tis:
25/7 ons:
26/7 tor:
27/7 fre:
28/7 lör:
29/7 sön:
30/7 mån:
31/7 tis:


** Augusti 2068:

1/8 ons:
2/8 tor:
3/8 fre:
4/8 lör:
5/8 sön:
6/8 mån:
7/8 tis:
8/8 ons:
9/8 tor:
10/8 fre:
11/8 lör:
12/8 sön:
13/8 mån:
14/8 tis:
15/8 ons:
16/8 tor:
17/8 fre:
18/8 lör:
19/8 sön:
20/8 mån:
21/8 tis:
22/8 ons:
23/8 tor:
24/8 fre:
25/8 lör:
26/8 sön:
27/8 mån:
28/8 tis:
29/8 ons:
30/8 tor:
31/8 fre:


** September 2068:

1/9 lör:
2/9 sön:
3/9 mån:
4/9 tis:
5/9 ons:
6/9 tor:
7/9 fre:
8/9 lör:
9/9 sön:
10/9 mån:
11/9 tis:
12/9 ons:
13/9 tor:
14/9 fre:
15/9 lör:
16/9 sön:
17/9 mån:
18/9 tis:
19/9 ons:
20/9 tor:
21/9 fre:
22/9 lör:
23/9 sön:
24/9 mån:
25/9 tis:
26/9 ons:
27/9 tor:
28/9 fre:
29/9 lör:
30/9 sön:


** Oktober 2068:

1/10 mån:
2/10 tis:
3/10 ons:
4/10 tor:
5/10 fre:
6/10 lör:
7/10 sön:
8/10 mån:
9/10 tis:
10/10 ons:
11/10 tor:
12/10 fre:
13/10 lör:
14/10 sön:
15/10 mån:
16/10 tis:
17/10 ons:
18/10 tor:
19/10 fre:
20/10 lör:
21/10 sön:
22/10 mån:
23/10 tis:
24/10 ons:
25/10 tor:
26/10 fre:
27/10 lör:
28/10 sön:
29/10 mån:
30/10 tis:
31/10 ons:


** November 2068:

1/11 tor:
2/11 fre:
3/11 lör:
4/11 sön:
5/11 mån:
6/11 tis:
7/11 ons:
8/11 tor:
9/11 fre:
10/11 lör:
11/11 sön:
12/11 mån:
13/11 tis:
14/11 ons:
15/11 tor:
16/11 fre:
17/11 lör:
18/11 sön:
19/11 mån:
20/11 tis:
21/11 ons:
22/11 tor:
23/11 fre:
24/11 lör:
25/11 sön:
26/11 mån:
27/11 tis:
28/11 ons:
29/11 tor:
30/11 fre:


** December 2068:

1/12 lör:
2/12 sön:
3/12 mån:
4/12 tis:
5/12 ons:
6/12 tor:
7/12 fre:
8/12 lör:
9/12 sön:
10/12 mån:
11/12 tis:
12/12 ons:
13/12 tor:
14/12 fre:
15/12 lör:
16/12 sön:
17/12 mån:
18/12 tis:
19/12 ons:
20/12 tor:
21/12 fre:
22/12 lör:
23/12 sön:
24/12 mån:
25/12 tis:
26/12 ons:
27/12 tor:
28/12 fre:
29/12 lör:
30/12 sön:
31/12 mån:
